"site_id","Date","DateTime","Value","Unit","CharacteristicName","USGSPCode","Result_ND","ResultSampleFractionText","BaseflowConditions"
"11113300-04-SSR",2012-07-09,2012-07-09 12:05:00,6.41,"pHunit","pH",NA,FALSE,NA,1
"11113300-07-ASH",2012-09-11,2012-09-11 12:45:00,6.84,"pHunit","pH",NA,FALSE,NA,0
"11113300-03-AMM",2012-06-26,2012-06-26 18:00:00,6.99,"pHunit","pH",NA,FALSE,NA,0
"11113300-01-SGR",2012-07-25,2012-07-25 14:00:00,7.4,"pHunit","pH",NA,FALSE,NA,0
"11113300-07-SGR",2012-06-27,2012-06-27 10:50:00,6.74,"pHunit","pH",NA,FALSE,NA,0
"11113300-02-ISR",2012-09-25,2012-09-25 11:40:00,6.7,"pHunit","pH",NA,FALSE,NA,0
"11113300-22-AMM",2012-06-01,2012-06-01 04:45:00,6.13,"pHunit","pH",NA,FALSE,NA,0
"11113300-02-ISR",2012-06-24,2012-06-24 11:30:00,6.79,"pHunit","pH",NA,FALSE,NA,1
"11113300-13-AMM",2012-07-16,2012-07-16 15:20:00,8.37,"pHunit","pH",NA,FALSE,NA,0
"11113300-13-AMM",2012-08-07,2012-08-07 16:02:00,7.25,"pHunit","pH",NA,FALSE,NA,0
"11113300-02-BLD",2012-07-09,2012-07-09 12:50:00,5.92,"pHunit","pH",NA,FALSE,NA,1
"11113300-22-AMM",2012-07-16,2012-07-16 17:20:00,6.52,"pHunit","pH",NA,FALSE,NA,0
"11113300-07-SGR",2012-07-25,2012-07-25 14:50:00,8.99,"pHunit","pH",NA,FALSE,NA,0
"11113300-07-BMB",2012-06-29,2012-06-29 13:25:00,6.48,"pHunit","pH",NA,FALSE,NA,0
"11113300-07-ASH",2012-06-26,2012-06-26 12:50:00,6.73,"pHunit","pH",NA,FALSE,NA,0
"11113300-01-SGR",2012-07-10,2012-07-10 13:30:00,7.29,"pHunit","pH",NA,FALSE,NA,1
"11113300-16-ASH",2012-05-22,2012-05-22 13:00:00,6.44,"pHunit","pH",NA,FALSE,NA,0
"11113300-07-ASH",2012-08-21,2012-08-21 13:28:00,6.68,"pHunit","pH",NA,FALSE,NA,0
"11113300-14-ISR",2012-10-29,2012-10-29 14:05:00,6.73,"pHunit","pH",NA,FALSE,NA,1
"11113300-01-MSC",2012-08-31,2012-08-31 19:37:00,7.46,"pHunit","pH",NA,FALSE,NA,0
"11113300-01-MSC",2012-07-30,2012-07-30 18:23:00,7.5,"pHunit","pH",NA,FALSE,NA,0
"11113300-07-SGR",2012-06-27,2012-06-27 10:35:00,6.85,"pHunit","pH",NA,FALSE,NA,0
"11113300-04-SSR",2012-10-22,2012-10-22 12:05:00,6.38,"pHunit","pH",NA,FALSE,NA,0
"11113300-09-THB",2012-06-29,2012-06-29 14:40:00,6.87,"pHunit","pH",NA,FALSE,NA,0
"11113300-16-ASH",2012-06-26,2012-06-26 13:06:00,6.66,"pHunit","pH",NA,FALSE,NA,0
"11113300-01-OTT",2012-07-24,2012-07-24 19:10:00,6.76,"pHunit","pH",NA,FALSE,NA,0
"11113300-02-ISR",2012-08-31,2012-08-31 11:50:00,6.7,"pHunit","pH",NA,FALSE,NA,0
"11113300-03-AMM",2012-06-01,2012-06-01 13:25:00,6.17,"pHunit","pH",NA,FALSE,NA,0
"11113300-02-BLD",2012-09-10,2012-09-10 12:50:00,6.18,"pHunit","pH",NA,FALSE,NA,0
"11113300-02-BLD",2012-10-22,2012-10-22 12:55:00,5.95,"pHunit","pH",NA,FALSE,NA,0
"11113300-16-ASH",2012-08-21,2012-08-21 12:55:00,6.27,"pHunit","pH",NA,FALSE,NA,0
"11113300-12-SGR",2012-06-05,2012-06-05 18:10:00,6.54,"pHunit","pH",NA,FALSE,NA,0
"11113300-01-DAB",2012-06-28,2012-06-29 00:35:00,7.4,"pHunit","pH",NA,FALSE,NA,0
"11113300-14-ISR",2012-08-31,2012-08-31 13:36:00,6.5,"pHunit","pH",NA,FALSE,NA,0
"11113300-02-ISR",2012-07-23,2012-07-23 12:30:00,6.92,"pHunit","pH",NA,FALSE,NA,0
"11113300-02-CLD",2012-06-26,2012-06-26 15:15:00,6.9,"pHunit","pH",NA,FALSE,NA,0
"11113300-02-ISR",2012-10-29,2012-10-29 12:45:00,6.94,"pHunit","pH",NA,FALSE,NA,1
"11113300-01-OTT",2012-06-18,2012-06-18 15:02:00,6.58,"pHunit","pH",NA,FALSE,NA,0
"11113300-07-ASH",2012-07-17,2012-07-17 12:45:00,6.88,"pHunit","pH",NA,FALSE,NA,0
"11113300-07-ASH",2012-05-22,2012-05-22 13:20:00,5.99,"pHunit","pH",NA,FALSE,NA,0
"11113300-03-BMB",2012-06-29,2012-06-29 13:12:00,7.01,"pHunit","pH",NA,FALSE,NA,0
"11113300-01-MTB",2012-06-28,2012-06-28 22:24:00,7.35,"pHunit","pH",NA,FALSE,NA,0
"11113300-05-XDB",2012-06-29,2012-06-29 16:30:00,5.88,"pHunit","pH",NA,FALSE,NA,0
"11113300-01-SGR",2012-07-25,2012-07-25 14:00:00,7.6,"pHunit","pH",NA,FALSE,NA,0
"11113300-02-ISR",2012-06-26,2012-06-26 14:15:00,6.74,"pHunit","pH",NA,FALSE,NA,0
"11113300-01-MSC",2012-07-30,2012-07-30 19:00:00,7.47,"pHunit","pH",NA,FALSE,NA,0
"11113300-16-ASH",2012-09-11,2012-09-11 12:19:00,6.82,"pHunit","pH",NA,FALSE,NA,0
"11113300-01-SGR",2012-06-27,2012-06-27 11:30:00,7.03,"pHunit","pH",NA,FALSE,NA,0
"11113300-01-MTB",2012-06-28,2012-06-28 22:24:00,7.36,"pHunit","pH",NA,FALSE,NA,0
"11113300-02-BLD",2012-08-20,2012-08-20 13:00:00,6.1,"pHunit","pH",NA,FALSE,NA,1
"11113300-01-GRB",2012-06-28,2012-06-28 22:36:00,7.28,"pHunit","pH",NA,FALSE,NA,0
"11113300-07-SGR",2012-06-05,2012-06-05 17:40:00,6.59,"pHunit","pH",NA,FALSE,NA,0
"11113300-04-SSR",2012-06-18,2012-06-18 12:15:00,6.32,"pHunit","pH",NA,FALSE,NA,0
"11113300-14-ISR",2012-09-25,2012-09-25 14:20:00,6.48,"pHunit","pH",NA,FALSE,NA,0
"11113300-07-SGR",2012-07-10,2012-07-10 14:45:00,8.21,"pHunit","pH",NA,FALSE,NA,1
"11113300-04-SSR",2012-06-18,2012-06-18 12:05:00,6.42,"pHunit","pH",NA,FALSE,NA,0
"11113300-16-ASH",2012-05-22,2012-05-22 13:50:00,6.37,"pHunit","pH",NA,FALSE,NA,0
"11113300-01-SGR",2012-07-10,2012-07-10 13:50:00,7.13,"pHunit","pH",NA,FALSE,NA,1
"11113300-02-ISR",2012-06-26,2012-06-26 14:00:00,6.72,"pHunit","pH",NA,FALSE,NA,0
"11113300-14-ISR",2012-07-23,2012-07-23 15:20:00,6.81,"pHunit","pH",NA,FALSE,NA,0
"11113300-14-ISR",2012-06-24,2012-06-24 14:10:00,6.6,"pHunit","pH",NA,FALSE,NA,1
"11113300-01-MSC",2012-06-27,2012-06-27 17:17:00,7.32,"pHunit","pH",NA,FALSE,NA,0
"11113300-05-SGR",2012-07-10,2012-07-10 14:20:00,6.79,"pHunit","pH",NA,FALSE,NA,1
"11113300-13-AMM",2012-06-01,2012-06-01 14:50:00,6.42,"pHunit","pH",NA,FALSE,NA,0
"11113300-07-ASH",2012-06-26,2012-06-26 12:35:00,6.69,"pHunit","pH",NA,FALSE,NA,0
"11113300-12-SGR",2012-07-25,2012-07-25 15:10:00,6.52,"pHunit","pH",NA,FALSE,NA,0
"11113300-01-SGR",2012-06-05,2012-06-05 15:15:00,6.71,"pHunit","pH",NA,FALSE,NA,0
"11113300-22-AMM",2012-06-26,2012-06-26 15:45:00,6.43,"pHunit","pH",NA,FALSE,NA,0
"USGS-01135100",1991-09-03,1991-09-03 19:30:00,8.05,"pHunit","pH","83389",FALSE,"Total",0
"USGS-01135100",1991-08-27,1991-08-27 17:00:00,4.23,"pHunit","pH","83389",FALSE,"Total",1
"USGS-01187800",1999-11-02,1999-11-03 00:30:00,7.4,"pHunit","pH","00403",FALSE,"Total",0
"USGS-01193465",1987-08-28,1987-08-28 13:00:00,7,"pHunit","pH","00400",FALSE,"Total",0
"USGS-01193450",1987-08-27,1987-08-27 21:00:00,7.2,"pHunit","pH","00400",FALSE,"Total",0
"USGS-01187800",2000-03-11,2000-03-11 16:48:00,6.7,"pHunit","pH","00403",FALSE,"Total",0
"USGS-01187830",2000-03-11,2000-03-11 16:45:00,7.1,"pHunit","pH","00403",FALSE,"Total",0
"USGS-01193450",1987-08-28,1987-08-28 11:00:00,7.3,"pHunit","pH","00400",FALSE,"Total",0
"USGS-01193465",1987-08-29,1987-08-29 09:00:00,6.8,"pHunit","pH","00400",FALSE,"Total",0
"USGS-01187830",2000-03-28,2000-03-28 06:45:00,6.3,"pHunit","pH","00403",FALSE,"Total",0
"USGS-01193450",1987-08-29,1987-08-29 11:00:00,7.1,"pHunit","pH","00400",FALSE,"Total",0
"USGS-01187850",1999-12-14,1999-12-14 20:10:00,7.3,"pHunit","pH","00403",FALSE,"Total",0
"USGS-01187800",1999-12-14,1999-12-14 23:00:00,7,"pHunit","pH","00403",FALSE,"Total",0
"USGS-01193465",1987-08-27,1987-08-27 21:00:00,6.8,"pHunit","pH","00400",FALSE,"Total",0
"USGS-01135100",1991-09-10,1991-09-10 20:00:00,4.29,"pHunit","pH","83389",FALSE,"Total",1
"USGS-01187850",1999-11-02,1999-11-02 23:30:00,7,"pHunit","pH","00403",FALSE,"Total",0
"USGS-01187800",2000-03-28,2000-03-28 06:30:00,6.8,"pHunit","pH","00403",FALSE,"Total",0
"11113300-02-ISR",2013-07-26,2013-07-26 12:40:00,6.54,"pHunit","pH",NA,FALSE,NA,0
"USGS-01208500",2020-05-26,2020-05-26 15:00:00,7.5,"pHunit","pH","00400",FALSE,"Total",1
"USGS-01208500",2020-05-26,2020-05-26 15:00:00,7.7,"pHunit","pH","00403",FALSE,"Total",1
"11113300-02-ISR",2013-06-11,2013-06-11 15:50:00,6.53,"pHunit","pH",NA,FALSE,NA,0
"CT_DEP01_WQX-14414",2013-09-17,2013-09-17 17:21:00,7.62,"pHunit","pH",NA,FALSE,NA,0
"11113300-02E-NSR",2013-10-10,2013-10-10 15:30:00,6.91,"pHunit","pH",NA,FALSE,NA,0
"USGS-01208990",2020-08-25,2020-08-25 13:00:00,7.9,"pHunit","pH","00400",FALSE,"Total",0
"USGS-01189995",2020-03-19,2020-03-19 13:15:00,7.7,"pHunit","pH","00400",FALSE,"Total",0
"21NYDECA_WQX-16011112",2013-10-28,2013-10-28 16:15:00,7.8,"pHunit","pH",NA,FALSE,"Total",0
"USGS-01201487",2020-05-28,2020-05-28 17:15:00,7.7,"pHunit","pH","00400",FALSE,"Total",0
"USGS-01201487",2020-05-28,2020-05-28 17:15:00,8.1,"pHunit","pH","00403",FALSE,"Total",0
"11113300-04-SBB",2013-10-16,2013-10-16 12:20:00,6.42,"pHunit","pH",NA,FALSE,NA,1
"11113300-14-ISR",2013-08-05,2013-08-05 14:45:00,6.57,"pHunit","pH",NA,FALSE,NA,1
"11113300-01-MSC",2013-06-12,2013-06-12 17:30:00,7.18,"pHunit","pH",NA,FALSE,NA,0
"11113300-01-HDY",2013-10-10,2013-10-10 08:55:00,6.57,"pHunit","pH",NA,FALSE,NA,0
"11NPSWRD_WQX-NETN_SAGA_69",2013-06-06,2013-06-06 14:00:00,8.02,"pHunit","pH",NA,FALSE,"Total",1
"USGS-01176205",2020-09-11,2020-09-11 15:45:00,7.4,"pHunit","pH","00400",FALSE,"Total",0
"USGS-01183610",2020-10-23,2020-10-23 15:45:00,7.7,"pHunit","pH","00400",FALSE,"Total",0
"USGS-01183610",2020-10-23,2020-10-23 15:45:00,7.8,"pHunit","pH","00403",FALSE,"Total",0
"11113300-01-CNT",2013-06-14,2013-06-14 15:30:00,6.7,"pHunit","pH",NA,FALSE,NA,0
"11113300-01-CNT",2013-08-05,2013-08-05 15:20:00,7.15,"pHunit","pH",NA,FALSE,NA,1
"USGS-01184000",2020-05-28,2020-05-28 12:00:00,7.4,"pHunit","pH","00400",FALSE,"Total",1
"USGS-01174570",1985-06-05,1985-06-05 16:00:00,7,"pHunit","pH","00400",FALSE,"Total",0
"USGS-01174570",1985-06-05,1985-06-05 16:00:00,6.5,"pHunit","pH","00403",FALSE,"Total",0
"11113300-01T-MKB",2013-10-10,2013-10-10 15:25:00,7.27,"pHunit","pH",NA,FALSE,NA,0
"USGS-01166500",2020-10-26,2020-10-26 13:30:00,7.3,"pHunit","pH","00400",FALSE,"Total",1
"USGS-01166500",2020-10-26,2020-10-26 13:30:00,7.4,"pHunit","pH","00403",FALSE,"Total",1
"11113300-14-ISR",2013-08-29,2013-08-29 15:16:00,6.73,"pHunit","pH",NA,FALSE,NA,0
"11113300-01-HDY",2013-09-20,2013-09-20 06:04:00,7.5,"pHunit","pH",NA,FALSE,NA,1
"USGS-01170100",1995-07-06,1995-07-06 14:30:00,6.5,"pHunit","pH","00400",FALSE,"Total",0
"USGS-01170100",1995-07-06,1995-07-06 14:30:00,7.9,"pHunit","pH","00403",FALSE,"Total",0
"11113300-02-GNB",2013-06-12,2013-06-12 15:50:00,6.89,"pHunit","pH",NA,FALSE,NA,0
"11113300-01-CLD",2013-07-26,2013-07-26 21:36:00,7.2,"pHunit","pH",NA,FALSE,NA,0
"11113300-58-CNT",2013-07-08,2013-07-08 14:40:00,6.48,"pHunit","pH",NA,FALSE,NA,0
"11113300-01-BGT",2013-09-20,2013-09-20 05:33:00,6.97,"pHunit","pH",NA,FALSE,NA,1
"USGS-01177000",2020-10-23,2020-10-23 13:00:00,7.4,"pHunit","pH","00400",FALSE,"Total",0
"CT_DEP01_WQX-16139",2013-10-08,2013-10-08 19:24:00,7.55,"pHunit","pH",NA,FALSE,NA,0
"USGS-01170100",2017-07-19,2017-07-19 13:10:00,7.9,"pHunit","pH","00400",FALSE,"Total",0
"USGS-01124000",2017-05-16,2017-05-16 14:00:00,7.3,"pHunit","pH","00400",FALSE,"Total",0
"USGS-01124000",2017-05-16,2017-05-16 14:00:00,7.3,"pHunit","pH","00403",FALSE,"Total",0
"11113300-04-SSR",2013-09-30,2013-09-30 12:10:00,6.55,"pHunit","pH",NA,FALSE,NA,1
"11113300-01-OTT",2013-06-27,2013-06-27 15:00:00,6.59,"pHunit","pH",NA,FALSE,NA,0
"11113300-03-AMM",2013-03-21,2013-03-21 15:00:00,6.71,"pHunit","pH",NA,FALSE,NA,1
"11113300-LAUFITK",2013-08-13,2013-08-13 13:30:00,5.1,"pHunit","pH",NA,FALSE,NA,0
"11113300-01-WAB",2013-07-26,2013-07-26 23:10:00,6.98,"pHunit","pH",NA,FALSE,NA,0
"11NPSWRD_WQX-NETN_SAGA_70",2013-10-28,2013-10-28 19:45:00,7.96,"pHunit","pH",NA,FALSE,"Total",1
"USGS-01161280",2017-05-12,2017-05-12 14:00:00,7.2,"pHunit","pH","00400",FALSE,"Total",0
"11113300-16-ASH",2013-05-28,2013-05-28 12:30:00,6.32,"pHunit","pH",NA,FALSE,NA,0
"USGS-01125100",2017-05-16,2017-05-16 16:00:00,7.7,"pHunit","pH","00400",FALSE,"Total",0
"11113300-01-TYB",2013-06-14,2013-06-14 14:15:00,4.38,"pHunit","pH",NA,FALSE,NA,0
"11113300-14-ISR",2013-07-26,2013-07-26 14:40:00,6.39,"pHunit","pH",NA,FALSE,NA,0
"USGS-01192500",2017-07-10,2017-07-10 15:00:00,7.8,"pHunit","pH","00403",FALSE,"Total",0
"CT_DEP01_WQX-15854",2013-09-24,2013-09-24 17:00:00,7.99,"pHunit","pH",NA,FALSE,NA,0
"11113300-22-AMM",2013-08-06,2013-08-06 16:00:00,6.36,"pHunit","pH",NA,FALSE,NA,1
"11113300-01-MSC",2013-07-09,2013-07-09 16:45:00,6.98,"pHunit","pH",NA,FALSE,NA,0
"11113300-01X-OTB",2013-07-11,2013-07-11 13:25:00,5.6,"pHunit","pH",NA,FALSE,NA,0
"USGS-01188000",2017-09-21,2017-09-21 16:00:00,7.4,"pHunit","pH","00400",FALSE,"Total",0
"11NPSWRD_WQX-NETN_MABI_28",2013-07-09,2013-07-09 17:28:56,7.92,"pHunit","pH",NA,FALSE,"Total",0
"11113300-01-WAB",2013-08-23,2013-08-23 20:27:00,7.34,"pHunit","pH",NA,FALSE,NA,0
"USGS-01208873",2017-05-03,2017-05-03 17:00:00,7.7,"pHunit","pH","00400",FALSE,"Total",0
"11113300-01T-MKB",2013-07-09,2013-07-09 15:30:00,7.37,"pHunit","pH",NA,FALSE,NA,0
"11113300-01-HNY",2013-07-31,2013-07-31 15:36:00,6.94,"pHunit","pH",NA,FALSE,NA,1
"11113300-02-ISR",2013-08-29,2013-08-29 12:54:00,6.8,"pHunit","pH",NA,FALSE,NA,0
"USGS-01161280",2020-05-12,2020-05-12 12:15:00,7.6,"pHunit","pH","00400",FALSE,"Total",0
"11113300-01-OTT",2013-07-15,2013-07-15 14:38:00,6.84,"pHunit","pH",NA,FALSE,NA,0
"USGS-01184490",2017-06-08,2017-06-08 16:15:00,7.9,"pHunit","pH","00400",FALSE,"Total",0
"11113300-16-ASH",2013-07-23,2013-07-23 11:55:00,6.46,"pHunit","pH",NA,FALSE,NA,0
"USGS-01196500",2017-07-06,2017-07-06 12:45:00,7.8,"pHunit","pH","00400",FALSE,"Total",1
"USGS-01196500",2017-07-06,2017-07-06 12:45:00,7.9,"pHunit","pH","00403",FALSE,"Total",1
"11113300-09-THB",2013-07-26,2013-07-27 00:29:00,6.53,"pHunit","pH",NA,FALSE,NA,0
"USGS-01170100",2017-03-13,2017-03-13 15:30:00,7.3,"pHunit","pH","00400",FALSE,"Total",1
"11113300-07-AMM",2013-07-15,2013-07-15 15:00:00,6.88,"pHunit","pH",NA,FALSE,NA,0
"11113300-14-ISR",2013-08-29,2013-08-29 15:10:00,6.67,"pHunit","pH",NA,FALSE,NA,0
"USGS-01184000",2017-10-24,2017-10-24 14:00:00,7.6,"pHunit","pH","00400",FALSE,"Total",0
"11113300-01-MTB",2013-08-23,2013-08-23 18:45:00,7.39,"pHunit","pH",NA,FALSE,NA,0
"11113300-07-AMM",2013-06-04,2013-06-04 15:05:00,6.14,"pHunit","pH",NA,FALSE,NA,0
"USGS-01184000",2017-10-18,2017-10-18 15:20:00,7.6,"pHunit","pH","00403",FALSE,"Total",0
"11NPSWRD_WQX-NETN_MABI_28",2013-08-07,2013-08-07 17:15:00,7.98,"pHunit","pH",NA,FALSE,"Total",1
"11113300-22-AMM",2013-03-12,2013-03-12 17:00:00,6.36,"pHunit","pH",NA,FALSE,NA,0
"CT_DEP01_WQX-17746",2013-09-30,2013-09-30 14:04:00,6.76,"pHunit","pH",NA,FALSE,NA,1
"11113300-09-THB",2013-07-26,2013-07-27 00:17:00,6.52,"pHunit","pH",NA,FALSE,NA,0
"11113300-13-AMM",2013-06-04,2013-06-04 15:50:00,6.27,"pHunit","pH",NA,FALSE,NA,0
"11113300-04-SSR",2013-07-28,2013-07-28 12:20:00,6.25,"pHunit","pH",NA,FALSE,NA,0
"11113300-02E-NSR",2013-07-09,2013-07-09 14:50:00,6.73,"pHunit","pH",NA,FALSE,NA,0
"11NPSWRD_WQX-NETN_MABI_28",2013-05-06,2013-05-06 17:21:00,8.13,"pHunit","pH",NA,FALSE,"Total",1
"11113300-04-SSR",2013-09-09,2013-09-09 12:10:00,6.55,"pHunit","pH",NA,FALSE,NA,1
"11113300-01-DOB",2013-07-31,2013-07-31 15:44:00,6.87,"pHunit","pH",NA,FALSE,NA,1
"11113300-03-AMM",2013-06-04,2013-06-04 13:40:00,6.56,"pHunit","pH",NA,FALSE,NA,0
"USGS-01170100",2017-09-19,2017-09-19 14:10:00,8.1,"pHunit","pH","00400",FALSE,"Total",0
"USGS-01170100",2017-09-06,2017-09-06 14:20:00,7.7,"pHunit","pH","00400",FALSE,"Total",0
"11113300-05-SMS",2013-07-11,2013-07-11 13:45:00,6.56,"pHunit","pH",NA,FALSE,NA,0
"USGS-01208950",2017-07-07,2017-07-07 15:30:00,7.3,"pHunit","pH","00400",FALSE,"Total",0
"USGS-01205500",2017-10-05,2017-10-05 18:00:00,8.1,"pHunit","pH","00400",FALSE,"Total",0
"USGS-01170006",2020-06-16,2020-06-16 16:00:00,7.6,"pHunit","pH","00400",FALSE,"Total",1
"USGS-01170006",2020-06-16,2020-06-16 16:00:00,7.7,"pHunit","pH","00403",FALSE,"Total",1
"21NYDECA_WQX-16011112",2013-04-01,2013-04-01 14:00:00,7.14,"pHunit","pH",NA,FALSE,"Total",0
"USGS-01198125",2017-04-12,2017-04-12 18:00:00,8,"pHunit","pH","00400",FALSE,"Total",0
"USGS-01201487",2017-05-17,2017-05-17 17:30:00,7.9,"pHunit","pH","00400",FALSE,"Total",0
"USGS-01201487",2017-05-17,2017-05-17 17:30:00,8,"pHunit","pH","00403",FALSE,"Total",0
"USGS-01118500",2017-06-28,2017-06-28 18:30:00,6.4,"pHunit","pH","00400",FALSE,"Total",0
"11113300-04-SSR",2013-07-28,2013-07-28 12:15:00,6.37,"pHunit","pH",NA,FALSE,NA,0
"11113300-01-TYB",2013-08-05,2013-08-05 14:00:00,5.31,"pHunit","pH",NA,FALSE,NA,1
"USGS-01127500",2020-10-01,2020-10-01 13:15:00,7.2,"pHunit","pH","00400",FALSE,"Total",0
"11113300-01-GRB",2013-08-23,2013-08-23 18:37:00,7.22,"pHunit","pH",NA,FALSE,NA,0
"11113300-04-SBB",2013-07-11,2013-07-11 12:15:00,6.14,"pHunit","pH",NA,FALSE,NA,0
"11113300-04-SSR",2013-06-24,2013-06-24 12:10:00,6.3,"pHunit","pH",NA,FALSE,NA,1
"USGS-01198125",2017-06-22,2017-06-22 14:30:00,8.1,"pHunit","pH","00400",FALSE,"Total",0
"USGS-01198125",2017-06-22,2017-06-22 14:30:00,8.2,"pHunit","pH","00403",FALSE,"Total",0
"11113300-01-DAB",2013-07-26,2013-07-26 20:08:00,7.31,"pHunit","pH",NA,FALSE,NA,0
"11113300-06-CRB",2013-07-31,2013-07-31 13:46:00,6.89,"pHunit","pH",NA,FALSE,NA,1
"11113300-02-GNB",2013-10-10,2013-10-10 14:45:00,6.78,"pHunit","pH",NA,FALSE,NA,0
"USGS-01195100",2017-07-21,2017-07-21 13:30:00,6.8,"pHunit","pH","00400",FALSE,"Total",0
"USGS-01118500",2017-08-30,2017-08-30 16:30:00,7.4,"pHunit","pH","00400",FALSE,"Total",0
"11113300-01X-OTB",2013-10-16,2013-10-16 13:30:00,6.1,"pHunit","pH",NA,FALSE,NA,0
"USGS-01208049",2020-09-14,2020-09-14 12:00:00,7,"pHunit","pH","00400",FALSE,"Total",0
"USGS-01208049",2020-09-14,2020-09-14 12:00:00,7.7,"pHunit","pH","00403",FALSE,"Total",0
"11113300-01-BGT",2013-10-10,2013-10-10 08:25:00,6.3,"pHunit","pH",NA,FALSE,NA,0
"11113300-02-ASH",2013-06-14,2013-06-14 16:40:00,6.15,"pHunit","pH",NA,FALSE,NA,0
"CT_DEP01_WQX-14456",2013-09-23,2013-09-23 16:54:00,7.31,"pHunit","pH",NA,FALSE,NA,0
"USGS-01188000",2017-05-04,2017-05-04 15:15:00,7.6,"pHunit","pH","00400",FALSE,"Total",0
"11113300-03-AMM",2013-06-19,2013-06-19 15:40:00,6.27,"pHunit","pH",NA,FALSE,NA,0
"USGS-01184000",2017-08-22,2017-08-22 14:30:00,7.6,"pHunit","pH","00400",FALSE,"Total",0
"USGS-01184000",2017-08-22,2017-08-22 14:30:00,7.9,"pHunit","pH","00403",FALSE,"Total",0
"11113300-04-SSR",2013-08-12,2013-08-12 12:15:00,6.49,"pHunit","pH",NA,FALSE,NA,1
"11113300-03-BMB",2013-08-23,2013-08-23 20:01:00,7.18,"pHunit","pH",NA,FALSE,NA,0
"11113300-01-SGR",2013-07-09,2013-07-09 14:00:00,7.04,"pHunit","pH",NA,FALSE,NA,0
"CT_DEP01_WQX-15087",2013-09-17,2013-09-17 16:45:00,7.69,"pHunit","pH",NA,FALSE,NA,0
"11113300-01-OTT",2013-10-20,2013-10-20 18:02:00,6.76,"pHunit","pH",NA,FALSE,NA,1
"USGS-01184490",2017-09-28,2017-09-28 13:15:00,8,"pHunit","pH","00403",FALSE,"Total",0
